Category: Business & Industrial,
,
Month,Economy topic
2004-01,44
2004-02,50
2004-03,47
2004-04,60
2004-05,44
2004-06,32
2004-07,31
2004-08,30
2004-09,42
2004-10,46
2004-11,51
2004-12,40
2005-01,38
2005-02,39
2005-03,39
2005-04,44
2005-05,41
2005-06,32
2005-07,23
2005-08,30
2005-09,37
2005-10,36
2005-11,40
2005-12,32
2006-01,30
2006-02,37
2006-03,35
2006-04,40
2006-05,35
2006-06,25
2006-07,21
2006-08,22
2006-09,28
2006-10,30
2006-11,31
2006-12,26
2007-01,26
2007-02,29
2007-03,30
2007-04,30
2007-05,31
2007-06,21
2007-07,20
2007-08,23
2007-09,33
2007-10,36
2007-11,40
2007-12,31
2008-01,48
2008-02,50
2008-03,55
2008-04,63
2008-05,61
2008-06,42
2008-07,36
2008-08,32
2008-09,80
2008-10,100
2008-11,82
2008-12,68
2009-01,66
2009-02,92
2009-03,83
2009-04,65
2009-05,61
2009-06,45
2009-07,44
2009-08,38
2009-09,48
2009-10,53
2009-11,55
2009-12,41
2010-01,40
2010-02,53
2010-03,51
2010-04,56
2010-05,52
2010-06,36
2010-07,32
2010-08,39
2010-09,43
2010-10,46
2010-11,48
2010-12,37
2011-01,29
2011-02,35
2011-03,36
2011-04,37
2011-05,30
2011-06,26
2011-07,26
2011-08,30
2011-09,33
2011-10,34
2011-11,35
2011-12,28
2012-01,27
2012-02,30
2012-03,27
2012-04,31
2012-05,28
2012-06,24
2012-07,22
2012-08,23
2012-09,31
2012-10,33
2012-11,32
2012-12,26
2013-01,24
2013-02,30
2013-03,27
2013-04,29
2013-05,26
2013-06,19
2013-07,19
2013-08,19
2013-09,27
2013-10,30
2013-11,27
2013-12,24
2014-01,23
2014-02,28
2014-03,26
2014-04,28
2014-05,26
2014-06,20
2014-07,17
2014-08,19
2014-09,28
2014-10,29
2014-11,28
2014-12,26
2015-01,28
2015-02,28
2015-03,28
2015-04,30
2015-05,27
2015-06,22
2015-07,23
2015-08,26
2015-09,32
2015-10,30
2015-11,29
2015-12,26
2016-01,28
2016-02,31
2016-03,27
2016-04,29
2016-05,27
2016-06,22
2016-07,17
2016-08,19
2016-09,25
2016-10,25
2016-11,27
2016-12,22
2017-01,22
2017-02,25
2017-03,25
2017-04,24
2017-05,22
2017-06,17
2017-07,14
2017-08,17
2017-09,22
2017-10,24
2017-11,23
2017-12,20
2018-01,21
2018-02,25
2018-03,22
2018-04,24
2018-05,22
2018-06,17
2018-07,16
2018-08,18
2018-09,24
2018-10,26
2018-11,23
2018-12,22
2019-01,22
2019-02,24
2019-03,23
2019-04,24
2019-05,22
2019-06,16
2019-07,16
2019-08,20
2019-09,23
2019-10,23
2019-11,22
2019-12,20
2020-01,20
2020-02,26
2020-03,54
2020-04,68
2020-05,40
2020-06,22
2020-07,20
2020-08,20
2020-09,29
2020-10,24
2020-11,20
2020-12,20
2021-01,23
2021-02,22
2021-03,29
2021-04,22
2021-05,20
2021-06,15
2021-07,15
2021-08,15
2021-09,19
2021-10,21
2021-11,20
2021-12,18
2022-01,18
2022-02,22
2022-03,23
2022-04,22
2022-05,22
2022-06,29
