Month,Stock: (United States),sp500 return
2004-01,15,0.0109
2004-02,14,-0.0157
2004-03,12,0.0097
2004-04,13,-0.0256
2004-05,11,0.0286
2004-06,11,-0.0224
2004-07,11,-0.0139
2004-08,11,0.0278
2004-09,11,0.001
2004-10,12,0.0477
2004-11,14,0.0273
2004-12,14,-0.0135
2005-01,13,0.0168
2005-02,14,-0.0026
2005-03,14,-0.0241
2005-04,12,0.0134
2005-05,12,0.0218
2005-06,12,0.0181
2005-07,12,0.0031
2005-08,13,0.0028
2005-09,13,-0.0262
2005-10,13,0.0396
2005-11,15,0.0214
2005-12,15,0.0147
2006-01,17,-0.0002
2006-02,16,0.0149
2006-03,16,0.008
2006-04,15,-0.0079
2006-05,13,-0.0271
2006-06,11,0.0072
2006-07,11,0.0229
2006-08,11,0.0253
2006-09,11,0.0362
2006-10,13,0.02
2006-11,12,0.0215
2006-12,12,0.0069
2007-01,14,0.016
2007-02,15,-0.0247
2007-03,14,0.0418
2007-04,13,0.0339
2007-05,13,0.0034
2007-06,12,0.0057
2007-07,14,-0.042
2007-08,13,0.0307
2007-09,12,0.0299
2007-10,14,-0.0481
2007-11,15,0.0124
2007-12,13,-0.0664
2008-01,16,-0.0156
2008-02,14,-0.0263
2008-03,14,0.0424
2008-04,14,0.0256
2008-05,13,-0.0425
2008-06,12,-0.0608
2008-07,14,0.0211
2008-08,11,-0.0485
2008-09,19,-0.2019
2008-10,28,-0.0861
2008-11,19,-0.0035
2008-12,17,-0.011
2009-01,15,-0.067
2009-02,16,-0.0569
2009-03,20,0.1232
2009-04,17,0.0666
2009-05,15,0.0287
2009-06,14,0.0128
2009-07,12,0.0812
2009-08,13,0.0365
2009-09,13,0.024
2009-10,13,0.0209
2009-11,13,0.0223
2009-12,12,0.0136
2010-01,12,-0.029
2010-02,13,0.0594
2010-03,13,0.0409
2010-04,14,-0.0588
2010-05,14,-0.0354
2010-06,12,-0.0016
2010-07,11,0.0086
2010-08,11,0.0337
2010-09,10,0.0458
2010-10,11,0.0249
2010-11,12,0.0371
2010-12,11,0.0346
2011-01,14,0.0315
2011-02,14,-0.0111
2011-03,15,0.0222
2011-04,13,0.0066
2011-05,12,-0.0366
2011-06,11,0.031
2011-07,11,-0.104
2011-08,17,-0.0079
2011-09,12,0.0302
2011-10,13,0.0177
2011-11,12,0.0155
2011-12,11,0.0478
2012-01,12,0.0416
2012-02,14,0.0288
2012-03,13,-0.0004
2012-04,12,-0.0309
2012-05,15,-0.0115
2012-06,11,0.0292
2012-07,11,0.0339
2012-08,11,0.0302
2012-09,12,-0.0022
2012-10,12,-0.0284
2012-11,12,0.0218
2012-12,11,0.0427
2013-01,13,0.0233
2013-02,13,0.0272
2013-03,13,0.0145
2013-04,13,0.0457
2013-05,14,-0.0112
2013-06,12,0.0325
2013-07,13,0.0025
2013-08,13,0.0119
2013-09,14,0.0212
2013-10,16,0.0386
2013-11,15,0.0152
2013-12,15,0.0097
2014-01,17,-0.0013
2014-02,17,0.0272
2014-03,16,0.002
2014-04,16,0.0153
2014-05,15,0.032
2014-06,15,0.015
2014-07,14,-0.0043
2014-08,13,0.0178
2014-09,15,-0.0265
2014-10,16,0.0571
2014-11,15,0.0063
2014-12,16,-0.0111
2015-01,16,0.0283
2015-02,17,0.0006
2015-03,17,0.0088
2015-04,17,0.0098
2015-05,15,-0.0044
2015-06,16,-0.0008
2015-07,18,-0.0242
2015-08,22,-0.0451
2015-09,19,0.0432
2015-10,18,0.0293
2015-11,16,-0.011
2015-12,16,-0.0642
2016-01,22,-0.0055
2016-02,22,0.0636
2016-03,20,0.0283
2016-04,20,-0.003
2016-05,20,0.0107
2016-06,20,0.033
2016-07,20,0.012
2016-08,19,-0.0044
2016-09,18,-0.0051
2016-10,19,0.012
2016-11,24,0.0395
2016-12,21,0.0144
2017-01,21,0.0258
2017-02,25,0.0175
2017-03,26,-0.0015
2017-04,23,0.0169
2017-05,24,0.0178
2017-06,25,0.0099
2017-07,23,0.0025
2017-08,25,0.0165
2017-09,22,0.0273
2017-10,25,0.0159
2017-11,27,0.0288
2017-12,26,0.0486
2018-01,33,-0.0289
2018-02,37,0.0006
2018-03,31,-0.0166
2018-04,29,0.0196
2018-05,27,0.0211
2018-06,28,0.0158
2018-07,29,0.0245
2018-08,32,0.0168
2018-09,34,-0.0385
2018-10,35,-0.0208
2018-11,30,-0.0556
2018-12,30,0.0174
2019-01,31,0.0583
2019-02,30,0.0195
2019-03,31,0.0372
2019-04,32,-0.0153
2019-05,32,0.014
2019-06,30,0.0383
2019-07,30,-0.0313
2019-08,32,0.0309
2019-09,27,0.0001
2019-10,28,0.0443
2019-11,29,0.0247
2019-12,28,0.0335
2020-01,34,0.0012
2020-02,46,-0.1892
2020-03,85,0.0432
2020-04,69,0.0589
2020-05,56,0.0651
2020-06,66,0.0348
2020-07,59,0.0589
2020-08,58,-0.0063
2020-09,52,0.0173
2020-10,47,0.0395
2020-11,54,0.0426
2020-12,63,0.028
2021-01,88,0.0249
2021-02,100,0.0082
2021-03,70,0.0602
2021-04,60,0.0076
2021-05,56,0.0181
2021-06,59,0.0307
2021-07,48,0.0219
2021-08,48,-0.0008
2021-09,42,0.0045
2021-10,47,0.0474
2021-11,54,0.0027
2021-12,47,-0.0205
2022-01,47,-0.029
2022-02,49,-0.0089
2022-03,48,0.0012
